Model,Balanced Acc,F1 Macro,MCC,Attack Recall,Benign Recall,Attack Precision,Benign Precision,FAR,FNR,ROC-AUC,PR-AUC,Train Time (s),Threshold
LightGBM,0.9661,0.9664,0.9329,0.9495,0.9828,0.9514,0.9821,0.0172,0.0505,0.9925,0.9865,72.07,0.1887
XGBoost,0.9661,0.9665,0.9329,0.9494,0.9828,0.9516,0.982,0.0172,0.0506,0.9927,0.9868,116.94,0.1867
Decision Tree,0.9642,0.9625,0.9251,0.95,0.9784,0.9397,0.9822,0.0216,0.05,0.9894,0.9804,131.9,0.1198
Random Forest,0.9562,0.9482,0.8971,0.9497,0.9627,0.9004,0.9818,0.0373,0.0503,0.9855,0.9788,890.69,0.1733
KNN,0.9337,0.9064,0.8205,0.9561,0.9113,0.793,0.9832,0.0887,0.0439,0.975,0.9628,0.0,0.2
SVM,0.8744,0.8176,0.6732,0.9493,0.7995,0.6272,0.978,0.2005,0.0507,0.9707,0.9628,1355.93,0.0457
Naive Bayes,0.8129,0.7309,0.5506,0.9498,0.6759,0.5101,0.9743,0.3241,0.0502,0.8875,0.6816,0.03,0.0
